,LATITUDE,LONGITUDE,SHELF,NewRegion,zone,FULLREEF_ID,REEF,REEF_SITE_NO,VISIT_NO,REPORT_YEAR,Year,Date,time,ACBX,ACTO,CBRN,MSE,COVER.HC,Chla,COTS_exp,Cycl_exp,DHW_exp,DINe,Mud,PAR,Sal,CIacute,TCI3_COTS,TCI5_COTS,DINriv,DHWpa,Cyclpa,COTSpa,sedWQI,Rel.Dist.shelf,Dist.barr,tot_Rivinflu
29,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,5,1997,1997,28/01/1997,19970128,1.502040816,3.57595386,6.991748004,9.2364685,24.09698314,0.086281586,0,0,1.53,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005891406,0,0,0,0.0614,0.963402427,0.01499,1718.449628
30,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,6,1998,1998,27/01/1998,19980127,2.3,9.838383838,8.214141414,9.013131313,32.36969697,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005366573,0,0,0,0.0614,0.963402427,0.01499,1565.362304
31,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,7,1999,1999,29/01/1999,19990129,0.706091683,10.33086863,8.06710081,11.05017947,36.39188801,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.003483986,0,1,0,0.0614,0.963402427,0.01499,1016.235325
32,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,8,2000,2000,24/01/2000,20000124,4.239614362,11.48950931,7.683784236,11.50969301,39.64947286,0.086281586,0,0,0.47,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.008708465,0,1,0,0.0614,0.963402427,0.01499,2540.150761
33,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,9,2001,2001,29/01/2001,20010129,3.769451654,12.96860677,7.052865058,8.580379922,39.27476945,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
34,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,10,2002,2001,15/09/2001,20010915,2.3,16.3,7.8,10.8,41,0.086281586,0,0,1.26,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
35,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,11,2003,2002,26/10/2002,20021026,4.1,14.7,6.7,8.2,36.8,0.086281586,0,0,3.24,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.002981903,1,0,0,0.0614,0.963402427,0.01499,869.7840311
36,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,12,2004,2004,6/01/2004,20040106,4.478058327,9.891642318,6.774618226,10.2364739,33.61634599,0.086281586,0,0,0.45,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000898972,0,0,0,0.0614,0.963402427,0.01499,262.2189377
37,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,13,2005,2005,28/01/2005,20050128,3.803015075,7.808542714,10.61055276,13.10351759,39.42663317,0.086281586,0,0,2.22,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
38,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,14,2006,2005,19/10/2005,20051019,2.506060606,5.514141414,8.711111111,13.12828283,32.96868687,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
39,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,15,2007,2007,8/01/2007,20070108,2.4,3.7,7.1,8.8,23.4,0.086281586,0,0,0.14,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.006026443,0,0,0,0.0614,0.963402427,0.01499,1757.838243
40,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,16,2008,2008,27/04/2008,20080427,2.3,5.3,7.3,13,30.1,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.018855008,0,0,0,0.0614,0.963402427,0.01499,5499.770763
41,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,17,2009,2009,6/02/2009,20090206,4.4,4.8,8.5,11.5,31.2,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
42,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,18,2010,2009,21/11/2009,20091121,2.9,5,7.7,12.2,31.4,0.086281586,0,0,1.61,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
43,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,19,2011,2011,27/01/2011,20110127,3.9,3,5.5,8.8,24.7,0.086281586,0,0,1.19,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.0285,0,1,0,0.0614,0.963402427,0.01499,8313.094727
44,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,20,2012,2012,17/02/2012,20120217,0.1,0.4,1.3,7.8,10.6,0.086281586,0,0,1.65,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
45,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,21,2013,2013,9/01/2013,20130109,0.2,0.7,2.6,11.6,17.5,0.086281586,0,0,0.16,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
46,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,22,2014,2014,16/03/2014,20140316,0.2,1,2.7,10.6,17,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
47,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,23,2015,2015,5/03/2015,20150305,0.3,2.4,4.8,10.2,20,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
48,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,24,2016,2015,1/12/2015,20151201,0.1,3.701005025,5.507035176,10.91155779,23.32211055,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
49,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,25,2017,2016,11/09/2016,20160911,0,2.1,5.1,1.6,10.9,0.086281586,0,0,7.06,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
50,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,26,2018,2017,16/12/2017,20171216,0.1,0.9,8,2.8,13.7,0.086281586,0,0,7.96,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
51,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,2,1994,1994,14/02/1994,19940214,0,3.10516934,6.036121481,4.639558739,15.50068947,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001809344,0,0,0,0.0614,0.963402427,0.01499,527.7630326
52,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,3,1995,1995,12/04/1995,19950412,0.883064516,5.106451613,6.434485407,9.235906298,23.92668971,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000387263,0,0,0,0.0614,0.963402427,0.01499,112.9598073
53,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,4,1996,1996,11/01/1996,19960111,0.597686054,6.572357724,5.904565353,6.202251407,23.47066917,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001293133,0,0,0,0.0614,0.963402427,0.01499,377.1908016
54,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,5,1997,1997,28/01/1997,19970128,0.702527868,6.633410708,9.137979236,6.928354973,26.92205443,0.086281586,0,0,1.53,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005891406,0,0,0,0.0614,0.963402427,0.01499,1718.449628
55,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,6,1998,1998,27/01/1998,19980127,0.5,7.46097561,10.46829268,5.465853659,28.98780488,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005366573,0,0,0,0.0614,0.963402427,0.01499,1565.362304
56,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,7,1999,1999,29/01/1999,19990129,1.933490472,10.15724036,9.093411079,6.895002184,35.16247204,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.003483986,0,1,0,0.0614,0.963402427,0.01499,1016.235325
57,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,8,2000,2000,24/01/2000,20000124,1.504522613,12.08012154,9.888547388,5.049269604,36.05482061,0.086281586,0,0,0.47,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.008708465,0,1,0,0.0614,0.963402427,0.01499,2540.150761
58,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,9,2001,2001,29/01/2001,20010129,2.525063578,11.79298955,11.32920612,5.9176783,38.49322957,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
59,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,10,2002,2001,15/09/2001,20010915,2.603015075,13.10904523,11.40753769,7.011055276,38.23869347,0.086281586,0,0,1.26,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
60,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,11,2003,2002,26/10/2002,20021026,1.7,16.5,9.4,4.9,37.2,0.086281586,0,0,3.24,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.002981903,1,0,0,0.0614,0.963402427,0.01499,869.7840311
61,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,12,2004,2004,6/01/2004,20040106,2.831714162,17.36096718,8.342292746,6.634499136,38.52040155,0.086281586,0,0,0.45,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000898972,0,0,0,0.0614,0.963402427,0.01499,262.2189377
62,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,13,2005,2005,28/01/2005,20050128,2.5,13.8,8.6,5.6,36,0.086281586,0,0,2.22,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
63,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,14,2006,2005,19/10/2005,20051019,2.924094155,4.811293309,8.65141497,7.703306004,27.30465485,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
64,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,15,2007,2007,8/01/2007,20070108,2,5.4,8.9,7.1,27.3,0.086281586,0,0,0.14,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.006026443,0,0,0,0.0614,0.963402427,0.01499,1757.838243
65,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,16,2008,2008,27/04/2008,20080427,4.881072874,6.163124157,9.337381916,5.574561404,29.03812416,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.018855008,0,0,0,0.0614,0.963402427,0.01499,5499.770763
66,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,17,2009,2009,6/02/2009,20090206,3.804020101,6.504522613,6.706532663,8.806030151,29.52261307,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
67,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,18,2010,2009,21/11/2009,20091121,5.5,8.8,11.3,9.5,40.4,0.086281586,0,0,1.61,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
68,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,19,2011,2011,27/01/2011,20110127,4.5,6.8,7.2,7.7,31.2,0.086281586,0,0,1.19,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.0285,0,1,0,0.0614,0.963402427,0.01499,8313.094727
69,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,20,2012,2012,17/02/2012,20120217,0.2,0.9,1.8,6.5,11.4,0.086281586,0,0,1.65,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
70,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,21,2013,2013,9/01/2013,20130109,0.6,0.6,2.8,4.9,10.8,0.086281586,0,0,0.16,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
71,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,22,2014,2014,16/03/2014,20140316,0.2,2.1,2.7,5,13.2,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
72,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,23,2015,2015,5/03/2015,20150305,0.2,4.4,4.7,7.3,21.2,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
73,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,24,2016,2015,1/12/2015,20151201,0.5,6.2,6.9,7.6,26.3,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
74,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,25,2017,2016,11/09/2016,20160911,0.2,3.1,5.8,2.3,12.5,0.086281586,0,0,7.06,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
75,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 13,26,2018,2017,16/12/2017,20171216,0.2,1.6,6.2,2.1,12.4,0.086281586,0,0,7.96,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
76,-16.6461,146.1107,M,central,OO,16064S,Arlington,Arlington1,14,2006,2005,21/10/2005,20051021,0.1,2.5,4.3,4.8,13.5,0.13130375,0,0,0.8,0.47933355,0.000291712,15.99374465,0,0,0,0,0.04049704,0,0,0,0.15582,0.687699484,0.1272,11554.50346
